#T	<E>/N	<M>/N	chi/N	C/N
0.0001	-2	1	0	0
0.1001	-2	1	0	0
0.2001	-2	1	0	0
0.3001	-2	1	3.48069e-11	1.87635e-09
0.4001	-2	1	2.07167e-08	8.28349e-07
0.5001	-2	1	9.0542e-07	2.89335e-05
0.6001	-1.99999	0.999997	1.09309e-05	0.000290135
0.7001	-1.99991	0.999978	6.39511e-05	0.00144442
0.8001	-1.99963	0.999907	0.000240167	0.00468625
0.9001	-1.99886	0.99971	0.000676754	0.0115104
1.0001	-1.99716	0.999275	0.00157135	0.0233957
1.1001	-1.99396	0.998445	0.00319241	0.0416181
1.2001	-1.98859	0.997022	0.00591296	0.0672341
1.3001	-1.98024	0.994761	0.0102881	0.101188
1.4001	-1.96804	0.991355	0.0172008	0.144484
1.5001	-1.95099	0.986411	0.0280909	0.198359
1.6001	-1.92796	0.979414	0.04523	0.264318
1.7001	-1.89767	0.969685	0.0718967	0.343843
1.8001	-1.85872	0.956375	0.112158	0.43751
1.9001	-1.80976	0.938514	0.169909	0.543505
2.0001	-1.7498	0.915183	0.24704	0.655987
2.1001	-1.67869	0.885781	0.341281	0.764467
2.2001	-1.59749	0.850331	0.445028	0.855414
2.3001	-1.50862	0.809658	0.546473	0.916178
2.4001	-1.41552	0.765326	0.633069	0.939418
2.5001	-1.32198	0.719319	0.695538	0.925403
2.6001	-1.23145	0.673619	0.730196	0.880985
2.7001	-1.14646	0.629859	0.738715	0.816366
2.8001	-1.06851	0.589151	0.726174	0.741725
2.9001	-0.998177	0.552087	0.698813	0.665143
3.0001	-0.935365	0.518842	0.662434	0.59197
3.1001	-0.87957	0.489307	0.621635	0.52513
3.2001	-0.830088	0.46321	0.579675	0.465797
3.3001	-0.786157	0.440202	0.538652	0.414043
3.4001	-0.747043	0.419916	0.499787	0.369351
3.5001	-0.712078	0.402003	0.463695	0.33094
3.6001	-0.680674	0.386143	0.430598	0.297964
3.7001	-0.652331	0.372052	0.400483	0.269617
3.8001	-0.626621	0.359487	0.373202	0.245176
3.9001	-0.603186	0.348238	0.348544	0.224016
4.0001	-0.581726	0.338126	0.326269	0.20561
4.1001	-0.561987	0.329001	0.306139	0.189519
4.2001	-0.543757	0.320735	0.287923	0.175378
4.3001	-0.526856	0.313217	0.271413	0.162886
4.4001	-0.511133	0.306357	0.256417	0.151795
4.5001	-0.496458	0.300075	0.242766	0.1419
4.6001	-0.482719	0.294303	0.23031	0.133029
4.7001	-0.469822	0.288985	0.218916	0.125043
4.8001	-0.457685	0.28407	0.208469	0.117822
4.9001	-0.446236	0.279514	0.198867	0.111267
5.0001	-0.435412	0.275282	0.19002	0.105295
