#T	<E>/N	<M>/N	chi/N	C/N
0.0001	-2	1	0	0
0.0101	-2	1	0	0
0.0201	-1.9999	0.999976	0.00238734	1.90037
0.0301	-1.99965	0.999912	0.00584074	3.10471
0.0401	-1.99987	0.999968	0.00159537	0.636557
0.0501	-1.99955	0.999888	0.0044648	1.42588
0.0601	-1.99974	0.999936	0.00212808	0.566544
0.0701	-1.99962	0.999904	0.00273566	0.624401
0.0801	-1.99997	0.999992	0.00019973	0.0398962
0.0901	-1.99962	0.999904	0.00212841	0.377964
0.1001	-1.99974	0.999936	0.0012777	0.204228
0.1101	-1.99984	0.99996	0.000726249	0.10554
0.1201	-1.99978	0.999944	0.000931903	0.12415
0.1301	-1.99971	0.999928	0.00110584	0.135999
0.1401	-1.99984	0.99996	0.000570735	0.0651803
0.1501	-1.99965	0.999912	0.00117126	0.124851
0.1601	-1.99984	0.99996	0.000499438	0.0499126
0.1701	-1.99962	0.999904	0.00112739	0.106045
0.1801	-1.99942	0.999856	0.00159623	0.141809
0.1901	-1.99974	0.999936	0.000672791	0.0566263
0.2001	-1.99936	0.99984	0.001596	0.127616
0.2101	-1.99978	0.999944	0.000685015	0.0521668
0.2201	-1.9999	0.999976	0.000218017	0.0158486
0.2301	-1.99949	0.999872	0.00111078	0.077238
0.2401	-1.99965	0.999912	0.000732222	0.0487944
0.2501	-1.9999	0.999976	0.000191866	0.0122745
0.2601	-1.99978	0.999944	0.000430302	0.02647
0.2701	-1.99965	0.999912	0.000650894	0.0385572
0.2801	-1.99981	0.999952	0.000342529	0.0195661
0.2901	-1.99974	0.999936	0.000440874	0.0243157
0.3001	-1.99997	0.999992	5.33102e-05	0.00284226
0.3101	-1.99971	0.999928	0.000463948	0.023938
0.3201	-1.99987	0.999968	0.000199858	0.00998976
0.3301	-1.99994	0.999984	9.69209e-05	0.00469777
0.3401	-1.99981	0.999952	0.000282101	0.0132714
0.3501	-1.99987	0.999968	0.000182732	0.00835107
