#T	<E>/N	<M>/N	chi/N	C/N
0.0001	-2	1	0	0
0.0101	-2	1	0	0
0.0201	-2	1	0	0
0.0301	-2	1	0	0
0.0401	-2	1	0	0
0.0501	-2	1	0	0
0.0601	-1.99974	0.999936	0.00212808	0.566544
0.0701	-1.99987	0.999968	0.000912616	0.2083
0.0801	-1.99978	0.999944	0.00139727	0.279106
0.0901	-1.99978	0.999944	0.00124219	0.220589
0.1001	-1.99958	0.999896	0.00207522	0.331704
0.1101	-1.99981	0.999952	0.000871411	0.126636
0.1201	-1.99952	0.99988	0.00199534	0.265823
0.1301	-1.99968	0.99992	0.00122859	0.151095
0.1401	-1.99997	0.999992	0.000114193	0.0130413
0.1501	-1.99968	0.99992	0.00106489	0.113513
0.1601	-1.99978	0.999944	0.000699073	0.0698636
0.1701	-1.99981	0.999952	0.000564035	0.0530545
0.1801	-1.99984	0.99996	0.000443976	0.0394426
0.1901	-1.99981	0.999952	0.000504694	0.0424782
0.2001	-1.99936	0.99984	0.001596	0.127616
0.2101	-1.9993	0.999824	0.00167171	0.127308
0.2201	-1.99949	0.999872	0.00116125	0.0844159
0.2301	-1.99885	0.999712	0.00249425	0.173437
0.2401	-1.9983	0.999576	0.00364642	0.242993
0.2501	-1.99709	0.999272	0.00589664	0.377234
0.2601	-1.99702	0.999256	0.0057907	0.356214
0.2701	-1.99493	0.998728	0.00986135	0.578075
0.2801	-1.99347	0.998368	0.0114153	0.652068
0.2901	-1.99187	0.99796	0.0143673	0.781915
0.3001	-1.98992	0.99748	0.0167985	0.895623
0.3101	-1.98926	0.997312	0.0170634	0.875839
0.3201	-1.98634	0.996576	0.0216773	1.075
0.3301	-1.98291	0.995696	0.0268067	1.26744
0.3401	-1.97846	0.994552	0.033149	1.49992
0.3501	-1.97656	0.994112	0.033537	1.50817
0.3601	-1.96675	0.99164	0.0471779	2.05722
0.3701	-1.96858	0.99204	0.0437502	1.80742
0.3801	-1.9615	0.990264	0.0518975	2.10022
