#T	<E>/N	<M>/N	chi/N	C/N
0.0001	-2	1	0	0
0.0101	-2	1	0	0
0.0201	-2	1	0	0
0.0301	-2	1	0	0
0.0401	-2	1	0	0
0.0501	-2	1	0	0
0.0601	-1.99962	0.999904	0.00319084	0.849475
0.0701	-1.99965	0.999912	0.00250794	0.572425
0.0801	-1.99984	0.99996	0.000998252	0.199401
0.0901	-1.99974	0.999936	0.00141951	0.252077
0.1001	-1.99965	0.999912	0.00175631	0.280729
0.1101	-1.99958	0.999896	0.00188674	0.274185
0.1201	-1.99968	0.99992	0.00133089	0.177304
0.1301	-1.99971	0.999928	0.00110584	0.135999
0.1401	-1.99994	0.999984	0.000228363	0.02608
0.1501	-1.99955	0.999888	0.00149025	0.158854
0.1601	-1.99987	0.999968	0.00039959	0.0399341
0.1701	-1.99981	0.999952	0.000564035	0.0530545
0.1801	-1.99984	0.99996	0.000443976	0.0394426
0.1901	-1.99987	0.999968	0.00033653	0.0283245
0.2001	-1.9993	0.999824	0.00175525	0.14035
0.2101	-1.99917	0.999792	0.00197486	0.150394
0.2201	-1.99898	0.999744	0.00231877	0.168561
0.2301	-1.99901	0.999752	0.0021489	0.149424
0.2401	-1.99709	0.999272	0.00600896	0.40043
0.2501	-1.99798	0.999496	0.00413295	0.264403
0.2601	-1.99651	0.999128	0.00663203	0.407968
0.2701	-1.99522	0.9988	0.00887079	0.519393
0.2801	-1.99322	0.998304	0.0120817	0.690137
0.2901	-1.9912	0.9978	0.0154119	0.85002
0.3001	-1.99069	0.997672	0.0154899	0.825851
0.3101	-1.98576	0.99644	0.0226609	1.16922
0.3201	-1.98547	0.996368	0.0226623	1.13276
0.3301	-1.98294	0.995736	0.0251362	1.21836
0.3401	-1.97896	0.994696	0.0320397	1.46631
0.3501	-1.97304	0.99324	0.0380964	1.72366
0.3601	-1.96885	0.992184	0.044412	1.95048
0.3701	-1.96501	0.991224	0.0478426	2.04685
0.3801	-1.95328	0.988272	0.0636921	2.63988
